firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use,n_tools,tls_raw,tls_scaled
Coursera Inc (COUR),Consumer Tech,2012,1307,136000000.0,5000000.0,-6.7,100,2718560,157271242,160416667,163625000,166897500,171840723,175277537,178783088,182358750,182419542,186980031,191654532,196445895,"AWS, GenAI Coach/Role Play/Course Builder, Python",High,3,150.07945382849744,150079.45382849744
Shutterstock Inc (SSTK),Consumer Tech,2003,1565,139000000.0,25000000.0,4.6,100,3255200,215223921,218452280,221729064,225055000,230309788,233764435,237270901,240829965,243770641,247427200,251138608,254905688,"AWS, cloud-based creative platform, AI content generation",Medium,3,128.10272794298353,128102.72794298353
CarGurus Inc (CARG),Consumer Tech,2006,1218,136000000.0,20000000.0,21.7,100,2533440,172961774,178150627,183495146,189000000,191699299,197450278,203373786,209475000,217883790,224420304,231152913,238087500,"AWS, marketplace platform, AI pricing tools",Medium,3,161.0458507010231,161045.85070102313
First Solar Inc (FSLR),Clean Tech,1999,7900,303000000.0,900000000.0,25.0,15,16432000,1015382087,1035689729,1056403523,1077531594,1099082226,1121063870,1143485147,1166354850,1189681947,1213475586,1237745098,1262500000,"CdTe thin-film manufacturing systems, MES/ERP, SAP",Medium,3,55.3188899707887,55318.8899707887
Generac Holdings Inc (GNRC),Clean Tech,1959,9400,216000000.0,150000000.0,10.0,10,19552000,970270424,979973128,989772860,999670588,1009667294,1019763967,1029961607,1040261223,1050663835,1061170473,1071782178,1082500000,"SAP, PLM systems, IoT-enabled generator monitoring",Low,3,33.14238952536825,33142.38952536825
EVgo Inc (EVGO),Clean Tech,2010,331,38000000.0,180000000.0,-15.0,40,688480,56129212,58935672,61882456,64976579,68225408,71636678,75218512,78979438,82928409,87074830,91428571,96000000,"charging network software, mobile app, AWS",Medium,3,165.58215198698582,165582.15198698582
ChargePoint Holdings (CHPT),Clean Tech,2007,1523,67000000.0,15000000.0,-50.0,35,3167840,93441748,94376165,95319927,96273126,97235857,98208216,99190298,100182201,101184023,102195863,103217822,104250000,"cloud-enabled charging network software, mobile app",Medium,2,42.3001161674832,42300.116167483204
Ameresco Inc (AMRC),Clean Tech,2000,1601,76000000.0,50000000.0,3.0,5,3330080,382024944,389665442,397458751,405407926,413516085,421786407,430222135,438826577,447603109,456555171,465686275,475000000,"energy management systems, SCADA, project engineering software",Low,3,68.46682361985297,68466.82361985298
Ormat Technologies Inc (ORA),Clean Tech,1965,1648,58000000.0,200000000.0,18.0,2,3427840,246190638,249883497,253631750,257436226,261297769,265217236,269195494,273233427,277331928,281491907,285714286,290000000,"SCADA, organic Rankine cycle turbine systems, geothermal monitoring",Low,3,50.760828976848394,50760.828976848396
Brookfield Renewable Corp (BEPC),Clean Tech,2011,5870,118000000.0,1500000000.0,5.0,0,12209600,962582779,972208607,981930693,991750000,1004560803,1014606411,1024752475,1035000000,930000000,963360000,1043640000,985000000,"SCADA grid monitoring, asset management software",Low,2,19.329052548814047,19329.05254881405
Fluence Energy Inc (FLNC),Clean Tech,2018,1670,184000000.0,30000000.0,-3.0,15,3473600,401800000,487900000,545300000,615000000,420000000,510000000,570000000,1200000000,364000000,442000000,494000000,1000000000,"Fluence IQ optimization software SaaS, battery management systems",Medium,2,105.94196222938739,105941.96222938738
Stem Inc (STEM),Clean Tech,2009,423,39000000.0,5000000.0,-30.0,60,879840,28620140,29478744,30363107,31274000,33078761,34071124,35093258,36146055,36820303,37556709,38307843,39074000,"Athena AI platform, PowerTrack solar monitoring software",High,2,88.65248226950355,88652.48226950355
Cisco Systems Inc (CSCO),Tech,1984,86200,9300000000.0,1400000000.0,18.4,35,179296000,11390375291,11618182797,11850546453,12087557382,12329308530,12575894700,12827412594,13083960846,13345640063,13612552864,13884803922,14162500000,"IOS/IOS-XE, Webex, Cisco Networking Cloud, AI infrastructure",High,4,207.47813671247545,207478.13671247545
International Business Machines Corp (IBM),Tech,1911,293400,7000000000.0,1400000000.0,15.7,55,610272000,13299900000,14537100000,14846400000,19176600000,13491250000,14746250000,15060000000,19452500000,14500000000,16528500000,16300000000,20201500000,"watsonx AI, Red Hat OpenShift, IBM Cloud, mainframe systems",High,4,45.881180850506006,45881.180850506
Texas Instruments Inc (TXN),Tech,1930,33000,2122000000.0,2900000000.0,28.3,5,68640000,4204560000,4379750000,4467345000,4467345000,3753600000,3910000000,3988200000,3988200000,4243200000,4420000000,4508400000,4508400000,"fab manufacturing systems, analog/embedded chip design tools",High,2,61.82983682983683,61829.83682983683
Qualcomm Inc (QCOM),Tech,1985,52000,9000000000.0,1000000000.0,12.5,5,108160000,8417700000,8775900000,9134100000,9492300000,9156070000,9545690000,9935310000,10324930000,10406740000,10849580000,11292420000,11735260000,"Snapdragon chip design tools, fabless semiconductor R&D platforms",High,2,166.42011834319527,166420.11834319527
Advanced Micro Devices (AMD),Tech,1969,31000,7621000000.0,600000000.0,12.5,10,64480000,6256168255,6443853303,6637168902,6836283969,7041372488,7252613663,7470192073,7694297835,7925126770,8162880573,8407766990,8660000000,"TSMC fab partnership, EPYC/Ryzen/Instinct chip design EDA tools",High,2,236.3833746898263,236383.3746898263
Broadcom Inc (AVGO),Tech,1991,55369,11502000000.0,800000000.0,33.0,15,115167520,10377055382,10792137597,11223823101,11672776025,12139687066,12625274549,13130285530,13655496952,14201716830,14769785503,15360576923,15975000000,"VMware Cloud Foundation, custom AI accelerators/XPUs, Ethernet switching silicon",High,3,299.61572498912886,299615.7249891289
NetApp Inc (NTAP),Tech,1992,11700,1010000000.0,168000000.0,18.1,25,24336000,1472211706,1486933823,1501803161,1516821193,1531989405,1547309299,1562782392,1578410216,1594194318,1610136261,1626237624,1642500000,"ONTAP storage OS, BlueXP, hybrid cloud data management software",Medium,3,124.5069033530572,124506.90335305719
Pure Storage Inc (PSTG),Tech,2009,6400,634000000.0,75000000.0,3.4,30,13312000,546940000,582610000,618280000,630170000,644000000,686000000,728000000,742000000,665700000,776650000,824200000,840050000,"FlashArray, FlashBlade, Fusion, Evergreen//One storage-as-a-service",High,4,190.50480769230768,190504.8076923077
Synopsys Inc (SNPS),Tech,1986,27969,2804000000.0,100000000.0,15.0,5,58175520,1699988800,1725488632,1751370961,1777641525,1804306148,1831370741,1858841302,1886723921,1915024780,1943750152,1972906404,2002500000,"EDA software, Fusion Compiler, semiconductor IP, AI-driven chip design tools",High,4,192.79587015294405,192795.87015294406
Dell Technologies Inc (DELL),Tech,1984,97000,5734000000.0,2200000000.0,3.0,30,201760000,22506220000,24552240000,25575250000,29667290000,19453500000,21222000000,22106250000,25643250000,21024740000,22936080000,23891750000,27714430000,"PowerEdge servers, VxRail, AI server manufacturing systems",Medium,3,85.25971451229184,85259.71451229183
HP Inc (HPQ),Tech,1939,58000,2212000000.0,400000000.0,5.5,20,120640000,13086950527,13152385280,13218147207,13284237943,13350659132,13417412428,13484499490,13551921988,13619681597,13687780005,13756218905,13825000000,"3D printing platforms, PC/printer manufacturing systems, AI PCs",Medium,3,55.00663129973475,55006.63129973475
Accenture plc (ACN),Tech,1989,779000,5574000000.0,600000000.0,11.0,15,1620320000,14313975225,14571626779,14833916061,15100926550,15372743228,15649452606,15931142753,16217903323,16509825583,16807002443,17109528487,17417500000,"generative AI/agentic AI platforms, cloud migration tools, SAP/Salesforce implementation",High,3,10.320183667423718,10320.183667423718
Arista Networks Inc (ANET),Tech,2004,5115,1261000000.0,80000000.0,39.0,10,10639200,1318545000,1406448000,1494351000,1640856000,1575697500,1680744000,1785790500,1960868000,1955310000,2150841000,2411549000,2488000000,"Extensible Operating System (EOS), AI/cloud networking switches",High,2,237.04789833822093,237047.89833822093
Western Digital Corp (WDC),Tech,1970,22641,515000000.0,300000000.0,25.7,15,47093280,1840000000,1840000000,1840000000,1840000000,1840000000,1840000000,1840000000,1840000000,1840000000,1840000000,1840000000,1840000000,"HDD/SSD manufacturing systems, cloud data center storage platforms",Medium,2,21.8714856981718,21871.4856981718
Seagate Technology Holdings (STX),Tech,1979,20000,546000000.0,250000000.0,16.2,10,41600000,1624480000,1772160000,1919840000,2067520000,1441220000,1572240000,1703260000,1834280000,2001340000,2183280000,2365220000,2547160000,"HAMR/SMR HDD manufacturing, Mozaic 3+ platform, factory AI",Medium,3,39.375,39375.0
Marvell Technology Inc (MRVL),Tech,1995,7042,2460000000.0,150000000.0,8.0,5,14647360,1420704000,1479900000,1479900000,1539096000,1321848000,1376925000,1376925000,1432002000,1968000000,2050000000,2050000000,2132000000,"custom ASIC/silicon design, data center interconnect, AI chip design platforms",High,3,503.84506149913705,503845.061499137
Cadence Design Systems (CDNS),Tech,1988,11081,1695000000.0,100000000.0,26.0,10,23048480,940696780,981596640,1022496500,1145196080,1067490720,1113903360,1160316000,1299553920,1218254570,1271222160,1324189750,1483092520,"EDA software, Millennium M1 digital twin platform, AI chip design tools",High,3,220.62192387524036,220621.92387524035
Analog Devices Inc (ADI),Tech,1965,24500,1766000000.0,400000000.0,18.0,5,50960000,2953329360,3014857055,3137912445,3199440140,2262517680,2309653465,2403925035,2451060820,2644729680,2699828215,2810025285,2865123820,"analog/mixed-signal IC design tools, MEMS fabrication systems",High,2,69.30926216640502,69309.26216640502
Garmin Ltd (GRMN),Tech,1989,23000,725000000.0,270000000.0,23.0,15,47840000,1215957285,1381769641,1437040427,1492311213,1386191304,1575217391,1638226087,1701234783,1594120000,1811500000,1883960000,1956420000,"GPS/satellite navigation systems, smartwatch firmware, GNSS chipsets",Medium,3,45.464046822742475,45464.04682274247
Motorola Solutions Inc (MSI),Tech,1928,23800,1120000000.0,200000000.0,15.0,5,49504000,2251936509,2296975240,2342914744,2389773039,2437568500,2486319870,2536046268,2586767193,2638502537,2691272587,2745098039,2800000000,"land mobile radio (LMR) systems, command center AI/video analytics, Avigilon platform",Medium,3,67.87330316742081,67873.30316742082
Applied Materials Inc (AMAT),Tech,1967,36500,3972000000.0,1200000000.0,24.7,2,75920000,7092500000,7092500000,7092500000,7092500000,7092500000,7092500000,7092500000,7092500000,7092500000,7092500000,7092500000,7092500000,"semiconductor wafer fabrication equipment, ALD/CVD/PVD/etch systems",Medium,2,104.63645943097998,104636.45943097999
Lam Research Corp (LRCX),Tech,1980,19000,2397000000.0,250000000.0,29.1,2,39520000,4008558680,4182843840,4444271580,4792841900,3428238780,3577292640,3800873430,4098981150,4240185930,4424541840,4701075705,5069787525,"plasma etch/deposition semiconductor equipment, 3D NAND fabrication tools",Medium,2,121.30566801619433,121305.66801619434
KLA Corporation (KLAC),Tech,1975,15000,1581000000.0,200000000.0,33.4,2,31200000,3040000000,3040000000,3040000000,3040000000,3040000000,3040000000,3040000000,3040000000,3040000000,3040000000,3040000000,3040000000,process control/inspection/metrology semiconductor equipment,Medium,1,50.67307692307692,50673.07692307692
Logitech International SA (LOGI),Tech,1981,8200,319000000.0,40000000.0,14.4,35,17056000,1138750000,1138750000,1138750000,1138750000,1138750000,1138750000,1138750000,1138750000,1138750000,1138750000,1138750000,1138750000,"peripheral hardware design tools, Logitech G gaming software",Medium,2,37.406191369606006,37406.19136960601
Teradyne Inc (TER),Tech,1960,6600,644000000.0,150000000.0,18.0,3,13728000,947500000,947500000,947500000,947500000,947500000,947500000,947500000,947500000,947500000,947500000,947500000,947500000,"automated semiconductor test systems, collaborative robotics (AMRs)",Medium,2,93.82284382284382,93822.84382284382
Keysight Technologies Inc (KEYS),Tech,2014,14500,896000000.0,150000000.0,14.0,10,30160000,1245000000,1245000000,1245000000,1245000000,1245000000,1245000000,1245000000,1245000000,1245000000,1245000000,1245000000,1245000000,"electronic measurement/test equipment, RF/microwave test solutions, software/services ARR platform",Medium,3,89.12466843501326,89124.66843501326
Skyworks Solutions Inc (SWKS),Tech,1962,10000,786000000.0,150000000.0,11.7,5,20800000,1240824000,1193100000,1145376000,1193100000,1086280000,1044500000,1002720000,1044500000,1062594000,1021725000,980856000,1021725000,"RF front-end modules, GaAs power amplifier fabrication, 5G chipsets",Medium,3,113.36538461538461,113365.38461538461
Qorvo Inc (QRVO),Tech,2015,7500,744000000.0,200000000.0,1.5,3,15600000,856737051,821039674,910283117,981677871,904800000,867100000,961350000,1036750000,911839040,968828980,968828980,869474000,"RF filters/amplifiers, GaAs/GaN fabrication, 5G RF front-end modules",Medium,3,143.07692307692307,143076.92307692306
Polestar Automotive Holding (PSNY),Clean Tech,2017,1686,244000000.0,150000000.0,-35.0,20,3506880,418000000,456000000,475000000,551000000,429000000,468000000,487500000,565500000,608000000,732600000,805860000,903540000,"EV battery management systems, Android Automotive OS, OTA software updates",Medium,3,208.73254859019983,208732.54859019982
Blink Charging Co (BLNK),Clean Tech,2009,320,19000000.0,8000000.0,-80.0,25,665600,37962000,36556000,33744000,32338000,33490800,32250400,29769600,28529200,27547200,26016800,27000000,22956000,"Blink Network cloud platform, OCPP-compliant charging software, IQ 200/Series 8 hardware",Medium,3,85.63701923076923,85637.01923076922
American Superconductor Corp (AMSC),Clean Tech,1987,569,27000000.0,10000000.0,2.0,5,1183520,24646600,26887200,28007500,32488700,31083300,34191630,38336070,42028000,46848900,51533790,57780310,66655000,"Gridtec grid systems, Windtec turbine controls, Marinetec ship protection systems",Medium,3,68.43990807083954,68439.90807083953
Ballard Power Systems Inc (BLDP),Clean Tech,1979,700,45000000.0,5000000.0,-100.0,5,1456000,20944444,20138889,19333333,20138889,14618400,15836600,14756000,27289000,14953950,18277050,32501000,33268000,"PEM fuel cell stack design, membrane electrode assembly R&D platforms",High,2,61.81318681318681,61813.18681318681
ON Semiconductor Corp (ON),Tech,1999,22670,779000000.0,700000000.0,5.0,5,47153600,2145810512,2063279338,2022013751,2022013751,1841320000,1770500000,1735090000,1735090000,1558700000,1498750000,1468775000,1468775000,"SiC/GaN power semiconductor fabrication, automotive/industrial chip design",Medium,2,33.0409555155916,33040.955515591595
Monolithic Power Systems Inc (MPWR),Tech,1997,4501,391000000.0,100000000.0,20.0,5,9362080,418846560,446162640,473478720,482584080,507633000,540739500,573846000,584881500,641805570,683662455,725519340,739471635,"analog/mixed-signal power IC design, DC-DC converter fabless manufacturing",Medium,2,83.52844666997078,83528.44666997077
Booz Allen Hamilton Holding Corp (BAH),Tech,1914,32500,912000000.0,150000000.0,6.5,5,67600000,2172112629,2226415445,2282075831,2339127727,2397605920,2457546068,2518984720,2581959338,2646508321,2712671029,2780487805,2850000000,"AI/ML platforms for defense, cyber/zero-trust solutions, multi-cloud government IT",High,3,40.47337278106509,40473.37278106509
Leidos Holdings Inc (LDOS),Tech,1969,47000,1018000000.0,150000000.0,7.0,3,97760000,3619000000,3773000000,3927000000,4081000000,3769400000,3929800000,4090200000,4250600000,3987950000,4157650000,4327350000,4497050000,"trusted mission AI, cyber operations platforms, digital modernization tools",High,3,31.23977086743044,31239.77086743044
CACI International Inc (CACI),Tech,1962,27000,450000000.0,80000000.0,6.0,3,56160000,1714825760,1757696404,1801638814,1846679784,1892846779,1940167948,1988672147,2038388951,2089348675,2141582391,2195121951,2250000000,"C4ISR systems, signals intelligence platforms, cyber/electronic warfare technology",High,3,24.03846153846154,24038.46153846154
Zebra Technologies Corp (ZBRA),Tech,1969,10700,614000000.0,60000000.0,10.0,10,22256000,1250371586,1262875302,1275504055,1288259095,1301141686,1314153103,1327294634,1340567581,1353973256,1367512989,1381188119,1395000000,"barcode scanners, RFID readers, mobile computers, machine vision systems",Medium,4,110.35226455787203,110352.26455787203
"Envestnet Inc (Private, fka NYSE:ENV)",FinTech,1999,2779,195000000.0,20000000.0,3.0,100,5780320,261385488,266613197,271945461,277384371,282932058,288590699,294362513,300249763,306254759,312379854,318627451,325000000,"Tamarac platform, Yodlee data aggregation (sold 2025), AI-driven advisory tools",High,3,101.20546959337891,101205.4695933789
LendingTree Inc (TREE),FinTech,1996,926,179000000.0,10000000.0,2.0,100,1926080,250970641,253480347,256015151,258575302,261161055,263772666,266410393,269074496,271765241,274482894,277227723,280000000,"AWS, online loan marketplace matching algorithms, MyLendingTree app",Medium,3,278.80461870742647,278804.6187074265
LendingClub Corp (LC),FinTech,2006,1075,140000000.0,15000000.0,6.0,100,2236000,188600000,196800000,205000000,229600000,195500000,204000000,212500000,238000000,229770000,239760000,249750000,279720000,"AWS, bank-as-a-service core systems, AI underwriting models",High,3,187.83542039355993,187835.42039355994
Q2 Holdings Inc (QTWO),FinTech,2004,2549,159000000.0,20000000.0,4.8,100,5301920,143031250,152359375,158578125,167906250,159185000,174590000,179725000,183000000,181846000,199444000,205310000,208200000,"AWS, Helix core processing platform, Q2 Innovation Studio API/SDK",High,3,89.96740803331623,89967.40803331623
Etsy Inc (ETSY),Consumer Tech,2005,2375,519000000.0,30000000.0,12.0,100,4940000,632269770,632269770,632269770,852189690,631732950,631732950,631732950,851466150,663320000,663320000,663320000,894040000,"AWS, marketplace search/recommendation algorithms, AI listing tools",High,3,315.18218623481783,315182.18623481784
Wix.com Ltd (WIX),Consumer Tech,2006,7500,318000000.0,30000000.0,22.2,100,15600000,358446237,374030856,389615475,436369332,405044248,422654867,440265487,493097345,457700000,477600000,497500000,557200000,"Cloudflare, Ruby, AI website builder (Wix Harmony), Velo dev platform",High,4,81.53846153846153,81538.46153846153
Fiverr International Ltd (FVRR),Consumer Tech,2010,762,95000000.0,8000000.0,4.0,100,1584960,85680000,87465000,89250000,94605000,95424000,97412000,99400000,105364000,102576000,104713000,106850000,113261000,"AWS, Fiverr Go AI platform, marketplace matching algorithms",High,3,179.8152634766808,179815.2634766808
Upwork Inc (UPWK),Consumer Tech,2015,630,142000000.0,10000000.0,14.6,100,1310400,180810000,184500000,184500000,188190000,188478500,192325000,192325000,196171500,193011000,196950000,196950000,200889000,"AWS, freelance marketplace matching algorithms, AI talent-matching tools",High,3,325.09157509157507,325091.57509157504
Cars.com Inc (CARS),Consumer Tech,1998,2309,119000000.0,30000000.0,8.0,100,4802720,162720000,166110000,169500000,179670000,167520000,171010000,174500000,184970000,180288000,185922000,181600000,197190000,"AWS, AccuTrade ML appraisal tools, VIN Performance Media AI",High,3,74.33287803577973,74332.87803577972
Angi Inc (ANGI),Consumer Tech,1995,2000,159000000.0,20000000.0,6.0,100,4160000,368378812,347913323,327447833,320626003,303580247,316136364,295111111,275172278,245900000,278200000,265600000,270300000,"AWS, homeowner-pro matching algorithms, mobile app platform",Medium,3,114.66346153846153,114663.46153846153
Freshworks Inc (FRSH),Enterprise Tech,2010,4500,185000000.0,15000000.0,21.9,100,9360000,140161520,146125840,152090160,158054480,169298700,176502900,183707100,190911300,197120115,205508205,213896295,222284385,"AWS, AI agentic customer service platform, Freshdesk/Freshservice",High,3,59.294871794871796,59294.8717948718
Five9 Inc (FIVN),Enterprise Tech,2001,2910,230000000.0,20000000.0,5.0,100,6052800,216670000,225890000,235110000,244330000,242285000,252595000,262905000,273215000,270038500,281529500,293020500,304511500,"AWS, Intelligent CX Platform, AI agents/agent-assist tools",High,3,113.99682791435369,113996.8279143537
Paylocity Holding Corp (PCTY),Enterprise Tech,1997,6700,208000000.0,40000000.0,14.0,100,13936000,257309942,292397661,304093567,315789474,308771930,350877193,364912281,378947368,352000000,400000000,416000000,432000000,"AWS, cloud-based payroll/HCM platform, Paylocity for Finance spend management",High,3,44.776119402985074,44776.119402985074
Payoneer Global Inc (PAYO),FinTech,2005,2375,148000000.0,20000000.0,10.0,100,4940000,199327041,207809043,216291045,224773046,229226097,238980399,248734701,258489003,243398400,263681600,271000000,281920000,"AWS, multi-currency payment infrastructure, working capital algorithms",High,3,89.87854251012146,89878.54251012146
Remitly Global Inc (RELY),FinTech,2011,2800,314000000.0,25000000.0,4.2,100,5824000,212464125,226628400,240792675,264399800,284391675,303351120,322310565,353909640,367908075,392435280,416962485,457841160,"AWS, cross-border payments app, AI fraud/risk/pricing models",High,3,161.7445054945055,161744.5054945055
Nextpower Inc (fka Nextracker) (NXT),Clean Tech,2013,1300,186000000.0,60000000.0,16.0,2,2704000,418000000,456000000,494000000,532000000,609900000,670890000,752210000,737000000,703590000,793410000,679000000,924000000,"TrueCapture AI yield management, NX Navigator monitoring, robotics/AI division",Medium,3,206.36094674556213,206360.94674556213
Radware Ltd (RDWR),Cybersecurity,1997,1296,66000000.0,8000000.0,8.0,60,2695680,62816000,64779000,68705000,65000000,64608000,68646000,68646000,73000000,72100000,74200000,75300000,80000000,"cloud DDoS/WAF/API security, LLM Firewall, AI-powered bot management",High,3,73.4508547008547,73450.8547008547
"SecureWorks Corp (Private, fka NASDAQ:SCWX)",Cybersecurity,1999,1181,66000000.0,10000000.0,-5.0,70,2456480,103030810,100970194,98950790,96971775,95032339,93131692,91269058,89443677,87654804,85901708,84183673,82500000,"Taegis XDR platform, Counter Threat Unit (CTU) threat intelligence",High,2,53.735426301048655,53735.426301048654
A10 Networks Inc (ATEN),Cybersecurity,2004,494,60000000.0,10000000.0,15.0,20,1027520,67000198,67670200,68346902,69030371,69720675,70417881,71122060,71833281,72551614,73277130,74009901,74750000,"application delivery controllers (ADC), DDoS protection, CGNAT appliances",Medium,3,175.17907194020555,175179.07194020555
OneSpan Inc (OSPN),Cybersecurity,1989,750,39000000.0,5000000.0,30.0,60,1560000,63478620,57600970,56425440,57600970,64800000,56256000,60944000,61200000,63400000,57536000,59334000,62930000,"Digipass authenticators, digital agreement/e-signature platform, mobile app security SDKs",Medium,3,75.0,75000.0
dLocal Limited (DLO),FinTech,2016,1274,168000000.0,15000000.0,15.0,100,2649920,189635585,195324653,201184392,207219924,213436522,219839617,226434806,233227850,240224686,247431426,254854369,262500000,"One dLocal platform, pay-in/pay-out APIs, emerging markets payment rails",High,3,190.19442096365174,190194.42096365173
Paysafe Limited (PSFE),FinTech,1996,3510,209000000.0,40000000.0,-8.0,90,7300800,314253255,323680853,333391279,343393017,353694807,364305652,375234821,386491866,398086622,410029220,422330097,435000000,"Skrill/NETELLER digital wallets, paysafecard, MoonPay crypto/stablecoin integration",High,3,85.8809993425378,85880.9993425378
EverCommerce Inc (EVCM),FinTech,2016,1800,100000000.0,10000000.0,1.0,85,3744000,134393204,134393204,137135922,142621359,135840000,140500000,144330000,144330000,141760000,148000000,150620000,150620000,"EverPro/EverHealth/EverWell SaaS suites, integrated payments, AI tools (ZyraTalk)",High,3,80.12820512820512,80128.20512820513
Flywire Corp (FLYW),FinTech,2009,1400,108000000.0,10000000.0,5.0,100,2912000,80818840,72736956,121228260,129310144,114100000,103700000,155210031,111903009,133500000,131900000,198048000,214552000,"global payments platform, proprietary payment network, vertical-specific software (StudyLink)",High,3,111.26373626373626,111263.73626373627
Repay Holdings Corp (RPAY),FinTech,2006,486,44000000.0,8000000.0,-10.0,85,1010880,70137331,70838704,71547091,72262562,72985188,73715040,74452190,75196712,75948679,76708166,77475248,78250000,"integrated payment processing APIs, consumer/B2B payment platform",Medium,2,87.0528648306426,87052.8648306426
Domo Inc (DOMO),Enterprise Tech,2010,888,63000000.0,5000000.0,-25.8,100,1847040,80225000,80225000,80225000,80225000,80250000,80250000,80250000,80250000,79250000,79250000,79250000,79250000,"AI/BI data products platform, embedded analytics (Domo Everywhere), multi-cloud integration",High,3,102.32588357588358,102325.88357588358
Sprinklr Inc (CXM),Enterprise Tech,2009,4343,94000000.0,10000000.0,3.0,100,9033440,141275200,147417600,153560000,171987200,184109000,201926000,207865000,202500000,197346000,216444000,222810000,220600000,"Unified-CXM platform, AI Copilot/agents, social/voice/digital channel orchestration",High,3,31.217343559042845,31217.343559042845
JFrog Ltd (FROG),Enterprise Tech,2008,1800,195000000.0,4000000.0,-13.5,55,3744000,77464204,80760553,84056902,87353251,100327869,108305180,109946167,109946167,122400000,135102000,137149000,137149000,"JFrog Platform (Artifactory, Xray), DevSecOps/MLOps, JFrog ML",High,4,208.33333333333334,208333.33333333334
AppFolio Inc (APPF),Enterprise Tech,2006,1702,143000000.0,15000000.0,12.0,100,3540160,149272000,155624000,161976000,168328000,186590000,194530000,202470000,210410000,217868000,238952000,245980000,248000000,"AppFolio Property Manager, AI-native Performance Platform, agentic AI",High,3,121.18096357226791,121180.96357226791
Yext Inc (YEXT),Enterprise Tech,2006,1150,84000000.0,5000000.0,-6.6,100,2392000,94266667,96190476,96190476,98114286,98980000,101000000,101000000,103020000,103145000,105250000,105250000,107355000,"AI Search/Answers Platform, Knowledge Graph, generative AI search engine",High,3,105.35117056856187,105351.17056856187
8x8 Inc (EGHT),Enterprise Tech,1987,1942,99000000.0,15000000.0,-2.0,100,4039360,159097460,160688434,162295319,163918272,165557455,167213029,168885160,170574011,172279751,174002549,175742574,177500000,"8x8 Work UCaaS, 8x8 Contact Center, Communications APIs (CPaaS)",High,3,73.52649924740552,73526.49924740552
"Dayforce Inc (fka Ceridian, Private - Thoma Bravo)",Enterprise Tech,1992,9000,315000000.0,100000000.0,4.0,100,18720000,359652174,374956522,390260870,405565217,413600000,431200000,448800000,466400000,481800000,489701520,489701520,504540960,"Dayforce HCM platform, AI-driven labor analytics, Dayforce Wallet",High,3,50.48076923076923,50480.769230769234
Bandwidth Inc (BAND),Enterprise Tech,1999,1100,98000000.0,15000000.0,-0.9,100,2288000,152323232,155496633,161843434,165016835,164509091,167936364,174790909,178218182,180960000,184730000,174240000,196040000,"Maestro AI voice platform, AIBridge, CPaaS voice/messaging APIs",High,3,128.4965034965035,128496.50349650349
PagerDuty Inc (PD),Enterprise Tech,2009,1155,117000000.0,5000000.0,-2.0,100,2402400,86207050,89875435,93543821,97212206,101724319,106053014,110381708,114710403,114962000,119854000,124746000,129638000,"PagerDuty Operations Cloud, AIOps, generative AI assistant, incident management",High,4,194.80519480519482,194805.19480519483
Elastic NV (ESTC),Enterprise Tech,2012,4019,408000000.0,20000000.0,4.0,85,8359520,323911532,332009321,340309554,348817293,357537725,366476168,375638072,385029024,394654750,404521118,414634146,425000000,"Elastic Stack (Elasticsearch, Kibana, Beats, Logstash), AI search/observability/security",High,5,244.03315022872127,244033.15022872126
Intel Corporation (INTC),Tech,1968,85100,9513000000.0,15000000000.0,-0.5,5,177008000,13358713317,13345354604,13332009249,13318677240,13305358563,13292053204,13278761151,13265482390,13252216907,13238964690,13225725726,13212500000,"x86 microprocessor fabs, Intel Foundry Services, AI accelerators (Gaudi)",High,3,161.23000090391395,161230.00090391395
Cognex Corp (CGNX),Tech,1981,2745,149000000.0,15000000.0,12.0,5,5709600,204785714,209142857,222214286,235285714,210797000,239292000,234742000,230169000,216036000,249093000,276892000,251979000,"machine vision systems, AI-powered OneVision cloud platform, barcode readers",Medium,3,78.28919714165616,78289.19714165616
Trimble Inc (TRMB),Tech,1978,11500,463000000.0,60000000.0,10.0,40,23920000,930681500,930681500,949675000,987662000,863968000,917966000,917966000,983400000,852416000,905692000,901200000,905692000,"AI-driven Connect & Scale platform, GNSS positioning, AECO/Field Systems software",High,3,58.0685618729097,58068.5618729097
Montrose Environmental Group (now Onterris) (MEG/ONT),Clean Tech,2012,3500,49000000.0,25000000.0,1.0,5,7280000,139280000,151941818,158272727,183596364,157728000,170872000,178700000,189100000,197952000,214448000,224900000,182700000,"environmental monitoring/lab testing systems, emissions measurement technology",Low,2,13.461538461538462,13461.538461538461
