firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use
Bumble Inc (BMBL),Consumer Tech,2014,560,$174M,$15M,-35.00%,100%,"1,164,800","252,746,540","257,801,471","262,957,500","268,216,650","257,507,449","262,657,598","267,910,750","273,268,965","242,057,002","241,644,990","246,200,000","238,814,000","AWS, iOS/Android native, matching algorithms",Medium
Duolingo Inc (DUOL),Consumer Tech,2011,900,$229M,$15M,12.00%,100%,"1,872,000","115,919,353","125,192,901","135,208,333","146,025,000","163,291,292","176,354,595","190,462,963","205,700,000","227,036,021","245,198,903","264,814,815","286,000,000","AWS, Python, Kotlin, Swift, AI/ML language models",High
Yelp Inc (YELP),Consumer Tech,2004,5168,$314M,$25M,11.00%,100%,"10,749,440","330,923,497","334,232,732","337,575,059","340,950,810","349,486,529","352,981,394","356,511,208","360,076,320","362,577,077","366,202,848","369,864,876","373,563,525","AWS, Python, Java, Yelp Assistant AI",Medium
TripAdvisor Inc (TRIP),Consumer Tech,2000,2590,$303M,$30M,4.50%,100%,"5,387,200","440,361,495","442,563,303","444,776,119","447,000,000","451,936,993","454,196,678","456,467,662","458,750,000","465,729,076","468,057,721","470,398,010","472,750,000","AWS, Java, metasearch algorithms, Viator/TheFork platforms",Medium
Chegg Inc (CHGG),Consumer Tech,2005,700,$75M,$8M,-25.00%,100%,"1,456,000","205,850,000","199,674,500","193,684,265","116,791,235","176,525,000","162,403,000","149,410,760","125,661,240","108,387,500","92,129,375","78,309,969","98,173,156","AWS, Python, AI homework-help tools, CheggMate",Medium
Coursera Inc (COUR),Consumer Tech,2012,1307,$136M,$5M,-6.70%,100%,"2,718,560","157,271,242","160,416,667","163,625,000","166,897,500","171,840,723","175,277,537","178,783,088","182,358,750","182,419,542","186,980,031","191,654,532","196,445,895","AWS, GenAI Coach/Role Play/Course Builder, Python",High
Shutterstock Inc (SSTK),Consumer Tech,2003,1565,$139M,$25M,4.60%,100%,"3,255,200","215,223,921","218,452,280","221,729,064","225,055,000","230,309,788","233,764,435","237,270,901","240,829,965","243,770,641","247,427,200","251,138,608","254,905,688","AWS, cloud-based creative platform, AI content generation",Medium
CarGurus Inc (CARG),Consumer Tech,2006,1218,$136M,$20M,21.70%,100%,"2,533,440","172,961,774","178,150,627","183,495,146","189,000,000","191,699,299","197,450,278","203,373,786","209,475,000","217,883,790","224,420,304","231,152,913","238,087,500","AWS, marketplace platform, AI pricing tools",Medium
First Solar Inc (FSLR),Clean Tech,1999,7900,$303M,$900M,25.00%,15%,"16,432,000","1,015,382,087","1,035,689,729","1,056,403,523","1,077,531,594","1,099,082,226","1,121,063,870","1,143,485,147","1,166,354,850","1,189,681,947","1,213,475,586","1,237,745,098","1,262,500,000","CdTe thin-film manufacturing systems, MES/ERP, SAP",Medium
Generac Holdings Inc (GNRC),Clean Tech,1959,9400,$216M,$150M,10.00%,10%,"19,552,000","970,270,424","979,973,128","989,772,860","999,670,588","1,009,667,294","1,019,763,967","1,029,961,607","1,040,261,223","1,050,663,835","1,061,170,473","1,071,782,178","1,082,500,000","SAP, PLM systems, IoT-enabled generator monitoring",Low
EVgo Inc (EVGO),Clean Tech,2010,331,$38M,$180M,-15.00%,40%,"688,480","56,129,212","58,935,672","61,882,456","64,976,579","68,225,408","71,636,678","75,218,512","78,979,438","82,928,409","87,074,830","91,428,571","96,000,000","charging network software, mobile app, AWS",Medium
ChargePoint Holdings (CHPT),Clean Tech,2007,1523,$67M,$15M,-50.00%,35%,"3,167,840","93,441,748","94,376,165","95,319,927","96,273,126","97,235,857","98,208,216","99,190,298","100,182,201","101,184,023","102,195,863","103,217,822","104,250,000","cloud-enabled charging network software, mobile app",Medium
Ameresco Inc (AMRC),Clean Tech,2000,1601,$76M,$50M,3.00%,5%,"3,330,080","382,024,944","389,665,442","397,458,751","405,407,926","413,516,085","421,786,407","430,222,135","438,826,577","447,603,109","456,555,171","465,686,275","475,000,000","energy management systems, SCADA, project engineering software",Low
Ormat Technologies Inc (ORA),Clean Tech,1965,1648,$58M,$200M,18.00%,2%,"3,427,840","246,190,638","249,883,497","253,631,750","257,436,226","261,297,769","265,217,236","269,195,494","273,233,427","277,331,928","281,491,907","285,714,286","290,000,000","SCADA, organic Rankine cycle turbine systems, geothermal monitoring",Low
Brookfield Renewable Corp (BEPC),Clean Tech,2011,5870,$118M,$1500M,5.00%,0%,"12,209,600","962,582,779","972,208,607","981,930,693","991,750,000","1,004,560,803","1,014,606,411","1,024,752,475","1,035,000,000","930,000,000","963,360,000","1,043,640,000","985,000,000","SCADA grid monitoring, asset management software",Low
Fluence Energy Inc (FLNC),Clean Tech,2018,1670,$184M,$30M,-3.00%,15%,"3,473,600","401,800,000","487,900,000","545,300,000","615,000,000","420,000,000","510,000,000","570,000,000","1,200,000,000","364,000,000","442,000,000","494,000,000","1,000,000,000","Fluence IQ optimization software SaaS, battery management systems",Medium
Stem Inc (STEM),Clean Tech,2009,423,$39M,$5M,-30.00%,60%,"879,840","28,620,140","29,478,744","30,363,107","31,274,000","33,078,761","34,071,124","35,093,258","36,146,055","36,820,303","37,556,709","38,307,843","39,074,000","Athena AI platform, PowerTrack solar monitoring software",High
Cisco Systems Inc (CSCO),Tech,1984,86200,$9300M,$1400M,18.40%,35%,"179,296,000","11,390,375,291","11,618,182,797","11,850,546,453","12,087,557,382","12,329,308,530","12,575,894,700","12,827,412,594","13,083,960,846","13,345,640,063","13,612,552,864","13,884,803,922","14,162,500,000","IOS/IOS-XE, Webex, Cisco Networking Cloud, AI infrastructure",High
International Business Machines Corp (IBM),Tech,1911,293400,$7000M,$1400M,15.70%,55%,"610,272,000","13,299,900,000","14,537,100,000","14,846,400,000","19,176,600,000","13,491,250,000","14,746,250,000","15,060,000,000","19,452,500,000","14,500,000,000","16,528,500,000","16,300,000,000","20,201,500,000","watsonx AI, Red Hat OpenShift, IBM Cloud, mainframe systems",High
Texas Instruments Inc (TXN),Tech,1930,33000,$2122M,$2900M,28.30%,5%,"68,640,000","4,204,560,000","4,379,750,000","4,467,345,000","4,467,345,000","3,753,600,000","3,910,000,000","3,988,200,000","3,988,200,000","4,243,200,000","4,420,000,000","4,508,400,000","4,508,400,000","fab manufacturing systems, analog/embedded chip design tools",High
Qualcomm Inc (QCOM),Tech,1985,52000,$9000M,$1000M,12.50%,5%,"108,160,000","8,417,700,000","8,775,900,000","9,134,100,000","9,492,300,000","9,156,070,000","9,545,690,000","9,935,310,000","10,324,930,000","10,406,740,000","10,849,580,000","11,292,420,000","11,735,260,000","Snapdragon chip design tools, fabless semiconductor R&D platforms",High
Advanced Micro Devices (AMD),Tech,1969,31000,$7621M,$600M,12.50%,10%,"64,480,000","6,256,168,255","6,443,853,303","6,637,168,902","6,836,283,969","7,041,372,488","7,252,613,663","7,470,192,073","7,694,297,835","7,925,126,770","8,162,880,573","8,407,766,990","8,660,000,000","TSMC fab partnership, EPYC/Ryzen/Instinct chip design EDA tools",High
Broadcom Inc (AVGO),Tech,1991,55369,$11502M,$800M,33.00%,15%,"115,167,520","10,377,055,382","10,792,137,597","11,223,823,101","11,672,776,025","12,139,687,066","12,625,274,549","13,130,285,530","13,655,496,952","14,201,716,830","14,769,785,503","15,360,576,923","15,975,000,000","VMware Cloud Foundation, custom AI accelerators/XPUs, Ethernet switching silicon",High
NetApp Inc (NTAP),Tech,1992,11700,$1010M,$168M,18.10%,25%,"24,336,000","1,472,211,706","1,486,933,823","1,501,803,161","1,516,821,193","1,531,989,405","1,547,309,299","1,562,782,392","1,578,410,216","1,594,194,318","1,610,136,261","1,626,237,624","1,642,500,000","ONTAP storage OS, BlueXP, hybrid cloud data management software",Medium
Pure Storage Inc (PSTG),Tech,2009,6400,$634M,$75M,3.40%,30%,"13,312,000","546,940,000","582,610,000","618,280,000","630,170,000","644,000,000","686,000,000","728,000,000","742,000,000","665,700,000","776,650,000","824,200,000","840,050,000","FlashArray, FlashBlade, Fusion, Evergreen//One storage-as-a-service",High
Synopsys Inc (SNPS),Tech,1986,27969,$2804M,$100M,15.00%,5%,"58,175,520","1,699,988,800","1,725,488,632","1,751,370,961","1,777,641,525","1,804,306,148","1,831,370,741","1,858,841,302","1,886,723,921","1,915,024,780","1,943,750,152","1,972,906,404","2,002,500,000","EDA software, Fusion Compiler, semiconductor IP, AI-driven chip design tools",High
Dell Technologies Inc (DELL),Tech,1984,97000,$5734M,$2200M,3.00%,30%,"201,760,000","22,506,220,000","24,552,240,000","25,575,250,000","29,667,290,000","19,453,500,000","21,222,000,000","22,106,250,000","25,643,250,000","21,024,740,000","22,936,080,000","23,891,750,000","27,714,430,000","PowerEdge servers, VxRail, AI server manufacturing systems",Medium
HP Inc (HPQ),Tech,1939,58000,$2212M,$400M,5.50%,20%,"120,640,000","13,086,950,527","13,152,385,280","13,218,147,207","13,284,237,943","13,350,659,132","13,417,412,428","13,484,499,490","13,551,921,988","13,619,681,597","13,687,780,005","13,756,218,905","13,825,000,000","3D printing platforms, PC/printer manufacturing systems, AI PCs",Medium
Accenture plc (ACN),Tech,1989,779000,$5574M,$600M,11.00%,15%,"1,620,320,000","14,313,975,225","14,571,626,779","14,833,916,061","15,100,926,550","15,372,743,228","15,649,452,606","15,931,142,753","16,217,903,323","16,509,825,583","16,807,002,443","17,109,528,487","17,417,500,000","generative AI/agentic AI platforms, cloud migration tools, SAP/Salesforce implementation",High
Arista Networks Inc (ANET),Tech,2004,5115,$1261M,$80M,39.00%,10%,"10,639,200","1,318,545,000","1,406,448,000","1,494,351,000","1,640,856,000","1,575,697,500","1,680,744,000","1,785,790,500","1,960,868,000","1,955,310,000","2,150,841,000","2,411,549,000","2,488,000,000","Extensible Operating System (EOS), AI/cloud networking switches",High
Western Digital Corp (WDC),Tech,1970,22641,$515M,$300M,25.70%,15%,"47,093,280","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000","HDD/SSD manufacturing systems, cloud data center storage platforms",Medium
Seagate Technology Holdings (STX),Tech,1979,20000,$546M,$250M,16.20%,10%,"41,600,000","1,624,480,000","1,772,160,000","1,919,840,000","2,067,520,000","1,441,220,000","1,572,240,000","1,703,260,000","1,834,280,000","2,001,340,000","2,183,280,000","2,365,220,000","2,547,160,000","HAMR/SMR HDD manufacturing, Mozaic 3+ platform, factory AI",Medium
Marvell Technology Inc (MRVL),Tech,1995,7042,$2460M,$150M,8.00%,5%,"14,647,360","1,420,704,000","1,479,900,000","1,479,900,000","1,539,096,000","1,321,848,000","1,376,925,000","1,376,925,000","1,432,002,000","1,968,000,000","2,050,000,000","2,050,000,000","2,132,000,000","custom ASIC/silicon design, data center interconnect, AI chip design platforms",High
Cadence Design Systems (CDNS),Tech,1988,11081,$1695M,$100M,26.00%,10%,"23,048,480","940,696,780","981,596,640","1,022,496,500","1,145,196,080","1,067,490,720","1,113,903,360","1,160,316,000","1,299,553,920","1,218,254,570","1,271,222,160","1,324,189,750","1,483,092,520","EDA software, Millennium M1 digital twin platform, AI chip design tools",High
Analog Devices Inc (ADI),Tech,1965,24500,$1766M,$400M,18.00%,5%,"50,960,000","2,953,329,360","3,014,857,055","3,137,912,445","3,199,440,140","2,262,517,680","2,309,653,465","2,403,925,035","2,451,060,820","2,644,729,680","2,699,828,215","2,810,025,285","2,865,123,820","analog/mixed-signal IC design tools, MEMS fabrication systems",High
Garmin Ltd (GRMN),Tech,1989,23000,$725M,$270M,23.00%,15%,"47,840,000","1,215,957,285","1,381,769,641","1,437,040,427","1,492,311,213","1,386,191,304","1,575,217,391","1,638,226,087","1,701,234,783","1,594,120,000","1,811,500,000","1,883,960,000","1,956,420,000","GPS/satellite navigation systems, smartwatch firmware, GNSS chipsets",Medium
Motorola Solutions Inc (MSI),Tech,1928,23800,$1120M,$200M,15.00%,5%,"49,504,000","2,251,936,509","2,296,975,240","2,342,914,744","2,389,773,039","2,437,568,500","2,486,319,870","2,536,046,268","2,586,767,193","2,638,502,537","2,691,272,587","2,745,098,039","2,800,000,000","land mobile radio (LMR) systems, command center AI/video analytics, Avigilon platform",Medium
Applied Materials Inc (AMAT),Tech,1967,36500,$3972M,$1200M,24.70%,2%,"75,920,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","7,092,500,000","semiconductor wafer fabrication equipment, ALD/CVD/PVD/etch systems",Medium
Lam Research Corp (LRCX),Tech,1980,19000,$2397M,$250M,29.10%,2%,"39,520,000","4,008,558,680","4,182,843,840","4,444,271,580","4,792,841,900","3,428,238,780","3,577,292,640","3,800,873,430","4,098,981,150","4,240,185,930","4,424,541,840","4,701,075,705","5,069,787,525","plasma etch/deposition semiconductor equipment, 3D NAND fabrication tools",Medium
KLA Corporation (KLAC),Tech,1975,15000,$1581M,$200M,33.40%,2%,"31,200,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000","3,040,000,000",process control/inspection/metrology semiconductor equipment,Medium
Logitech International SA (LOGI),Tech,1981,8200,$319M,$40M,14.40%,35%,"17,056,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","1,138,750,000","peripheral hardware design tools, Logitech G gaming software",Medium
Teradyne Inc (TER),Tech,1960,6600,$644M,$150M,18.00%,3%,"13,728,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","947,500,000","automated semiconductor test systems, collaborative robotics (AMRs)",Medium
Keysight Technologies Inc (KEYS),Tech,2014,14500,$896M,$150M,14.00%,10%,"30,160,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","1,245,000,000","electronic measurement/test equipment, RF/microwave test solutions, software/services ARR platform",Medium
Skyworks Solutions Inc (SWKS),Tech,1962,10000,$786M,$150M,11.70%,5%,"20,800,000","1,240,824,000","1,193,100,000","1,145,376,000","1,193,100,000","1,086,280,000","1,044,500,000","1,002,720,000","1,044,500,000","1,062,594,000","1,021,725,000","980,856,000","1,021,725,000","RF front-end modules, GaAs power amplifier fabrication, 5G chipsets",Medium
Qorvo Inc (QRVO),Tech,2015,7500,$744M,$200M,1.50%,3%,"15,600,000","856,737,051","821,039,674","910,283,117","981,677,871","904,800,000","867,100,000","961,350,000","1,036,750,000","911,839,040","968,828,980","968,828,980","869,474,000","RF filters/amplifiers, GaAs/GaN fabrication, 5G RF front-end modules",Medium
Polestar Automotive Holding (PSNY),Clean Tech,2017,1686,$244M,$150M,-35.00%,20%,"3,506,880","418,000,000","456,000,000","475,000,000","551,000,000","429,000,000","468,000,000","487,500,000","565,500,000","608,000,000","732,600,000","805,860,000","903,540,000","EV battery management systems, Android Automotive OS, OTA software updates",Medium
Blink Charging Co (BLNK),Clean Tech,2009,320,$19M,$8M,-80.00%,25%,"665,600","37,962,000","36,556,000","33,744,000","32,338,000","33,490,800","32,250,400","29,769,600","28,529,200","27,547,200","26,016,800","27,000,000","22,956,000","Blink Network cloud platform, OCPP-compliant charging software, IQ 200/Series 8 hardware",Medium
American Superconductor Corp (AMSC),Clean Tech,1987,569,$27M,$10M,2.00%,5%,"1,183,520","24,646,600","26,887,200","28,007,500","32,488,700","31,083,300","34,191,630","38,336,070","42,028,000","46,848,900","51,533,790","57,780,310","66,655,000","Gridtec grid systems, Windtec turbine controls, Marinetec ship protection systems",Medium
Ballard Power Systems Inc (BLDP),Clean Tech,1979,700,$45M,$5M,-100.00%,5%,"1,456,000","20,944,444","20,138,889","19,333,333","20,138,889","14,618,400","15,836,600","14,756,000","27,289,000","14,953,950","18,277,050","32,501,000","33,268,000","PEM fuel cell stack design, membrane electrode assembly R&D platforms",High
ON Semiconductor Corp (ON),Tech,1999,22670,$779M,$700M,5.00%,5%,"47,153,600","2,145,810,512","2,063,279,338","2,022,013,751","2,022,013,751","1,841,320,000","1,770,500,000","1,735,090,000","1,735,090,000","1,558,700,000","1,498,750,000","1,468,775,000","1,468,775,000","SiC/GaN power semiconductor fabrication, automotive/industrial chip design",Medium
Monolithic Power Systems Inc (MPWR),Tech,1997,4501,$391M,$100M,20.00%,5%,"9,362,080","418,846,560","446,162,640","473,478,720","482,584,080","507,633,000","540,739,500","573,846,000","584,881,500","641,805,570","683,662,455","725,519,340","739,471,635","analog/mixed-signal power IC design, DC-DC converter fabless manufacturing",Medium
Booz Allen Hamilton Holding Corp (BAH),Tech,1914,32500,$912M,$150M,6.50%,5%,"67,600,000","2,172,112,629","2,226,415,445","2,282,075,831","2,339,127,727","2,397,605,920","2,457,546,068","2,518,984,720","2,581,959,338","2,646,508,321","2,712,671,029","2,780,487,805","2,850,000,000","AI/ML platforms for defense, cyber/zero-trust solutions, multi-cloud government IT",High
Leidos Holdings Inc (LDOS),Tech,1969,47000,$1018M,$150M,7.00%,3%,"97,760,000","3,619,000,000","3,773,000,000","3,927,000,000","4,081,000,000","3,769,400,000","3,929,800,000","4,090,200,000","4,250,600,000","3,987,950,000","4,157,650,000","4,327,350,000","4,497,050,000","trusted mission AI, cyber operations platforms, digital modernization tools",High
CACI International Inc (CACI),Tech,1962,27000,$450M,$80M,6.00%,3%,"56,160,000","1,714,825,760","1,757,696,404","1,801,638,814","1,846,679,784","1,892,846,779","1,940,167,948","1,988,672,147","2,038,388,951","2,089,348,675","2,141,582,391","2,195,121,951","2,250,000,000","C4ISR systems, signals intelligence platforms, cyber/electronic warfare technology",High
Zebra Technologies Corp (ZBRA),Tech,1969,10700,$614M,$60M,10.00%,10%,"22,256,000","1,250,371,586","1,262,875,302","1,275,504,055","1,288,259,095","1,301,141,686","1,314,153,103","1,327,294,634","1,340,567,581","1,353,973,256","1,367,512,989","1,381,188,119","1,395,000,000","barcode scanners, RFID readers, mobile computers, machine vision systems",Medium
"Envestnet Inc (Private, fka NYSE:ENV)",FinTech,1999,2779,$195M,$20M,3.00%,100%,"5,780,320","261,385,488","266,613,197","271,945,461","277,384,371","282,932,058","288,590,699","294,362,513","300,249,763","306,254,759","312,379,854","318,627,451","325,000,000","Tamarac platform, Yodlee data aggregation (sold 2025), AI-driven advisory tools",High
LendingTree Inc (TREE),FinTech,1996,926,$179M,$10M,2.00%,100%,"1,926,080","250,970,641","253,480,347","256,015,151","258,575,302","261,161,055","263,772,666","266,410,393","269,074,496","271,765,241","274,482,894","277,227,723","280,000,000","AWS, online loan marketplace matching algorithms, MyLendingTree app",Medium
LendingClub Corp (LC),FinTech,2006,1075,$140M,$15M,6.00%,100%,"2,236,000","188,600,000","196,800,000","205,000,000","229,600,000","195,500,000","204,000,000","212,500,000","238,000,000","229,770,000","239,760,000","249,750,000","279,720,000","AWS, bank-as-a-service core systems, AI underwriting models",High
Q2 Holdings Inc (QTWO),FinTech,2004,2549,$159M,$20M,4.80%,100%,"5,301,920","143,031,250","152,359,375","158,578,125","167,906,250","159,185,000","174,590,000","179,725,000","183,000,000","181,846,000","199,444,000","205,310,000","208,200,000","AWS, Helix core processing platform, Q2 Innovation Studio API/SDK",High
Etsy Inc (ETSY),Consumer Tech,2005,2375,$519M,$30M,12.00%,100%,"4,940,000","632,269,770","632,269,770","632,269,770","852,189,690","631,732,950","631,732,950","631,732,950","851,466,150","663,320,000","663,320,000","663,320,000","894,040,000","AWS, marketplace search/recommendation algorithms, AI listing tools",High
Wix.com Ltd (WIX),Consumer Tech,2006,7500,$318M,$30M,22.20%,100%,"15,600,000","358,446,237","374,030,856","389,615,475","436,369,332","405,044,248","422,654,867","440,265,487","493,097,345","457,700,000","477,600,000","497,500,000","557,200,000","Cloudflare, Ruby, AI website builder (Wix Harmony), Velo dev platform",High
Fiverr International Ltd (FVRR),Consumer Tech,2010,762,$95M,$8M,4.00%,100%,"1,584,960","85,680,000","87,465,000","89,250,000","94,605,000","95,424,000","97,412,000","99,400,000","105,364,000","102,576,000","104,713,000","106,850,000","113,261,000","AWS, Fiverr Go AI platform, marketplace matching algorithms",High
Upwork Inc (UPWK),Consumer Tech,2015,630,$142M,$10M,14.60%,100%,"1,310,400","180,810,000","184,500,000","184,500,000","188,190,000","188,478,500","192,325,000","192,325,000","196,171,500","193,011,000","196,950,000","196,950,000","200,889,000","AWS, freelance marketplace matching algorithms, AI talent-matching tools",High
Cars.com Inc (CARS),Consumer Tech,1998,2309,$119M,$30M,8.00%,100%,"4,802,720","162,720,000","166,110,000","169,500,000","179,670,000","167,520,000","171,010,000","174,500,000","184,970,000","180,288,000","185,922,000","181,600,000","197,190,000","AWS, AccuTrade ML appraisal tools, VIN Performance Media AI",High
Angi Inc (ANGI),Consumer Tech,1995,2000,$159M,$20M,6.00%,100%,"4,160,000","368,378,812","347,913,323","327,447,833","320,626,003","303,580,247","316,136,364","295,111,111","275,172,278","245,900,000","278,200,000","265,600,000","270,300,000","AWS, homeowner-pro matching algorithms, mobile app platform",Medium
Freshworks Inc (FRSH),Enterprise Tech,2010,4500,$185M,$15M,21.90%,100%,"9,360,000","140,161,520","146,125,840","152,090,160","158,054,480","169,298,700","176,502,900","183,707,100","190,911,300","197,120,115","205,508,205","213,896,295","222,284,385","AWS, AI agentic customer service platform, Freshdesk/Freshservice",High
Five9 Inc (FIVN),Enterprise Tech,2001,2910,$230M,$20M,5.00%,100%,"6,052,800","216,670,000","225,890,000","235,110,000","244,330,000","242,285,000","252,595,000","262,905,000","273,215,000","270,038,500","281,529,500","293,020,500","304,511,500","AWS, Intelligent CX Platform, AI agents/agent-assist tools",High
Paylocity Holding Corp (PCTY),Enterprise Tech,1997,6700,$208M,$40M,14.00%,100%,"13,936,000","257,309,942","292,397,661","304,093,567","315,789,474","308,771,930","350,877,193","364,912,281","378,947,368","352,000,000","400,000,000","416,000,000","432,000,000","AWS, cloud-based payroll/HCM platform, Paylocity for Finance spend management",High
Payoneer Global Inc (PAYO),FinTech,2005,2375,$148M,$20M,10.00%,100%,"4,940,000","199,327,041","207,809,043","216,291,045","224,773,046","229,226,097","238,980,399","248,734,701","258,489,003","243,398,400","263,681,600","271,000,000","281,920,000","AWS, multi-currency payment infrastructure, working capital algorithms",High
Remitly Global Inc (RELY),FinTech,2011,2800,$314M,$25M,4.20%,100%,"5,824,000","212,464,125","226,628,400","240,792,675","264,399,800","284,391,675","303,351,120","322,310,565","353,909,640","367,908,075","392,435,280","416,962,485","457,841,160","AWS, cross-border payments app, AI fraud/risk/pricing models",High
Nextpower Inc (fka Nextracker) (NXT),Clean Tech,2013,1300,$186M,$60M,16.00%,2%,"2,704,000","418,000,000","456,000,000","494,000,000","532,000,000","609,900,000","670,890,000","752,210,000","737,000,000","703,590,000","793,410,000","679,000,000","924,000,000","TrueCapture AI yield management, NX Navigator monitoring, robotics/AI division",Medium
Radware Ltd (RDWR),Cybersecurity,1997,1296,$66M,$8M,8.00%,60%,"2,695,680","62,816,000","64,779,000","68,705,000","65,000,000","64,608,000","68,646,000","68,646,000","73,000,000","72,100,000","74,200,000","75,300,000","80,000,000","cloud DDoS/WAF/API security, LLM Firewall, AI-powered bot management",High
"SecureWorks Corp (Private, fka NASDAQ:SCWX)",Cybersecurity,1999,1181,$66M,$10M,-5.00%,70%,"2,456,480","103,030,810","100,970,194","98,950,790","96,971,775","95,032,339","93,131,692","91,269,058","89,443,677","87,654,804","85,901,708","84,183,673","82,500,000","Taegis XDR platform, Counter Threat Unit (CTU) threat intelligence",High
A10 Networks Inc (ATEN),Cybersecurity,2004,494,$60M,$10M,15.00%,20%,"1,027,520","67,000,198","67,670,200","68,346,902","69,030,371","69,720,675","70,417,881","71,122,060","71,833,281","72,551,614","73,277,130","74,009,901","74,750,000","application delivery controllers (ADC), DDoS protection, CGNAT appliances",Medium
OneSpan Inc (OSPN),Cybersecurity,1989,750,$39M,$5M,30.00%,60%,"1,560,000","63,478,620","57,600,970","56,425,440","57,600,970","64,800,000","56,256,000","60,944,000","61,200,000","63,400,000","57,536,000","59,334,000","62,930,000","Digipass authenticators, digital agreement/e-signature platform, mobile app security SDKs",Medium
dLocal Limited (DLO),FinTech,2016,1274,$168M,$15M,15.00%,100%,"2,649,920","189,635,585","195,324,653","201,184,392","207,219,924","213,436,522","219,839,617","226,434,806","233,227,850","240,224,686","247,431,426","254,854,369","262,500,000","One dLocal platform, pay-in/pay-out APIs, emerging markets payment rails",High
Paysafe Limited (PSFE),FinTech,1996,3510,$209M,$40M,-8.00%,90%,"7,300,800","314,253,255","323,680,853","333,391,279","343,393,017","353,694,807","364,305,652","375,234,821","386,491,866","398,086,622","410,029,220","422,330,097","435,000,000","Skrill/NETELLER digital wallets, paysafecard, MoonPay crypto/stablecoin integration",High
EverCommerce Inc (EVCM),FinTech,2016,1800,$100M,$10M,1.00%,85%,"3,744,000","134,393,204","134,393,204","137,135,922","142,621,359","135,840,000","140,500,000","144,330,000","144,330,000","141,760,000","148,000,000","150,620,000","150,620,000","EverPro/EverHealth/EverWell SaaS suites, integrated payments, AI tools (ZyraTalk)",High
Flywire Corp (FLYW),FinTech,2009,1400,$108M,$10M,5.00%,100%,"2,912,000","80,818,840","72,736,956","121,228,260","129,310,144","114,100,000","103,700,000","155,210,031","111,903,009","133,500,000","131,900,000","198,048,000","214,552,000","global payments platform, proprietary payment network, vertical-specific software (StudyLink)",High
Repay Holdings Corp (RPAY),FinTech,2006,486,$44M,$8M,-10.00%,85%,"1,010,880","70,137,331","70,838,704","71,547,091","72,262,562","72,985,188","73,715,040","74,452,190","75,196,712","75,948,679","76,708,166","77,475,248","78,250,000","integrated payment processing APIs, consumer/B2B payment platform",Medium
Domo Inc (DOMO),Enterprise Tech,2010,888,$63M,$5M,-25.80%,100%,"1,847,040","80,225,000","80,225,000","80,225,000","80,225,000","80,250,000","80,250,000","80,250,000","80,250,000","79,250,000","79,250,000","79,250,000","79,250,000","AI/BI data products platform, embedded analytics (Domo Everywhere), multi-cloud integration",High
Sprinklr Inc (CXM),Enterprise Tech,2009,4343,$94M,$10M,3.00%,100%,"9,033,440","141,275,200","147,417,600","153,560,000","171,987,200","184,109,000","201,926,000","207,865,000","202,500,000","197,346,000","216,444,000","222,810,000","220,600,000","Unified-CXM platform, AI Copilot/agents, social/voice/digital channel orchestration",High
JFrog Ltd (FROG),Enterprise Tech,2008,1800,$195M,$4M,-13.50%,55%,"3,744,000","77,464,204","80,760,553","84,056,902","87,353,251","100,327,869","108,305,180","109,946,167","109,946,167","122,400,000","135,102,000","137,149,000","137,149,000","JFrog Platform (Artifactory, Xray), DevSecOps/MLOps, JFrog ML",High
AppFolio Inc (APPF),Enterprise Tech,2006,1702,$143M,$15M,12.00%,100%,"3,540,160","149,272,000","155,624,000","161,976,000","168,328,000","186,590,000","194,530,000","202,470,000","210,410,000","217,868,000","238,952,000","245,980,000","248,000,000","AppFolio Property Manager, AI-native Performance Platform, agentic AI",High
